No,id,nama_perusahaan,sub_kimap,hasil_produksi,jenis_produk,spesifikasi_produk,standar_produk,no_sertifikat_produk,nilai_tkdn,kapasitas_produksi,kategori,peringkat,provinsi,kabupaten,lampiran_url
1,36365,PT MI Indonesia,Chemicals,Chemical,Weighting Material Barite,"Merk: MI Bar, Density: ≥4.20 g/cc, Particles >75 microns: 3.0 Weight %, Particles <6 microns : 3.0 Weight %, Total Alkali Soluble Alkaline Earth Metals as Calcium < 250 ppm",API Spec 13A,13A-0097,33.17%,14.400 Ton/Tahun,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
2,36366,PT MI Indonesia,Chemicals,Chemical,Bentonite,"Merk: MI Gel, API Fluid Loss > 15 mL., Fann Dial Reading
@ 600rpm > 30 FDR, Moisture < 10 Weight %, Wet Screen: Greater than 75 microns < 4 Weight %, YP/PV < 3 UL.",API Spec 13A,13A-0097,46.39%,9.600 Ton/Tahun,Diwajibkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
3,36367,PT MI Indonesia,Chemicals,Chemical,Surface Active Agent (Mud Detergent),"Merk: Drilling Detergent, Viscosity : 12.15 cSt @ 40 °C, Relative Density : 0.98-1.01 s.g, pH-Value, Diluted Solution : 7.94 @ 1%",-,-,43.53%,6.720 Drum/Tahun,Diwajibkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
4,36368,PT MI Indonesia,Chemicals,Chemical,Surfactant (Well Cleaner),"Merk: Safe Surf E, Surfactant - Boiling Point (°C) : 100 °C, Melting Point (°C) : 0 °C, Relative Density :
1.00 pH-Value, Conc. Solution : 8",-,-,25.33%,6.720 Drum/Tahun,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
5,36369,PT MI Indonesia,Chemicals,Chemical,Corrosion Inhibitor,"Merk: Safe Cor, Corrosion Inhibitor - Flash Point (°C) : >
110 °C P/M Pensky-Martens, Relative Density : 1.03-1.05 kg/L, pH-Value, Conc. Solution : > 10.5",-,-,32.98%,9.600 Drum/Tahun,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
6,36370,PT MI Indonesia,Chemicals,Chemical,Oil Base Mud Wetting Agent,"Merk: Verscoat IC, Primary Emulsifier, Acid Value : 5 - 15 mg KOH/g, Amine Value : 5.5 - 12.5 mg KOH/g, Appearance : Amber liquid, Specific Gravity : 0.84 - 0.86 UL",-,-,25.00%,9.600 Drum/Tahun,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
7,36371,PT MI Indonesia,Chemicals,Chemical,Primary Emulsifier,"Merk: Novatec P, Primary Emulsifier. Appearance : Dark
Liquid, Viscocity @20C cPs : 2500 MAX, Amine Value : 16 mg KOH/g, MAX.",-,-,26.35%,9.600 Drum/Tahun,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
8,36372,PT MI Indonesia,Chemicals,Chemical,Secondary Emulsifier,"Merk: Novatec S, Secondary Emulsifier. Appearance : Dark
Brown Liquid, Acid Value : 50 mg KOH/g MIN, Amine Value : 10 mg KOH/g, MAX",-,-,26.03%,9.600 Drum/Tahun,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,PT_MI_INDONESIA_SKUPBB9411553136YT1WY.PDF
9,36283,TEKNOLOGI PROTEKSI API,"Fire, Safety and Environmental Conservation Equipment",Fire Fighting Equipments,Mobile Foam Trolley,"Material: Reinforced FIberglass Plastic or Steel Kapasitas: 150 L, 200 L, 500 L Inlet Connection: 2,5"" in-line eductor Hose Size: 2,5""","NFPA11, ASME RTP-1, ASME VIII",-,40.00%,210 Unit/Tahun,Diwajibkan,1,DKI Jakarta,Kota Jakarta Selatan,TEKNOLOGI_PROTEKSI_API_SKUPBB4694160579GKRBD.PDF
10,36284,TEKNOLOGI PROTEKSI API,"Fire, Safety and Environmental Conservation Equipment",Fire Fighting Equipments,Linear Heat Detector,"Alarm Temperature 68°C - 180°C, Voltage, Operated 24 VDC, Cable 2 Core 1,5 mm",NFPA 2001,-,25.48%,48,Dimaksimalkan,1,DKI Jakarta,Kota Jakarta Selatan,TEKNOLOGI_PROTEKSI_API_SKUPBB4694160579GKRBD.PDF
